Day;General;Contact;Sub;Glasses;Drugs;Travel;Work;Spare;Connect;SM;Sleep;ACT;Steps;Train;Naps
1;6;300;0;0;0;50;390;390;720;180;480;30;2594;0;0
2;8;360;1;3;0;0;300;450;720;180;450;90;5069;15;0
3;6;150;0;0;0;0;480;240;720;240;480;120;12623;60;0
4;9;300;1;2;0;30;360;300;660;270;510;57;6860;4;0
5;7;240;0;0;0;30;180;690;660;240;420;120;15228;90;0
6;8;300;1;2;0;40;0;660;600;120;450;90;20056;4;0
7;7;210;0;0;0;0;330;390;540;160;390;120;14124;65;0
8;8;240;0;0;0;0;300;360;420;180;510;75;12290;4;0
9;7;240;1;1;0;0;360;360;480;195;480;60;2987;15;0
10;10;420;0;0;0;20;0;720;420;150;390;314;40939;0;0
11;8;420;0;0;0;0;60;660;1140;60;540;20;1222;0;0
12;8;420;0;0;0;285;405;240;413;150;377;70;10035;20;0
13;8;300;1;1;0;30;0;720;810;180;510;30;4565;0;0
14;8;660;1;1;0;60;0;780;630;10;510;60;12473;0;0
15;8;180;0;0;0;20;60;660;890;150;510;31;3043;20;1
16;8;240;0;0;0;0;150;480;855;60;465;80;7873;51;0
17;7;480;1;1;0;75;480;60;853;60;467;62;10060;32;0
18;8;420;1;1;0;30;0;720;895;150;505;230;27268;197;0
19;8;270;0;0;0;30;0;540;1069;75;371;30;6569;0;0
20;8;360;1;1;0;45;60;600;941;40;459;75;9451;30;0
21;8;480;1;2;0;30;0;540;1110;60;330;60;5872;12;0
22;7;180;0;0;0;0;180;540;990;270;450;52;5645;25;0
23;8;420;1;1;0;30;0;600;815;150;505;230;27268;47;0
24;6;360;0;0;0;30;180;420;930;90;450;100;12670;15;0
25;8;240;0;0;0;30;180;540;880;180;440;148;16478;35;0
26;8;120;0;0;0;0;60;540;990;150;450;90;5400;90;0
27;8;120;1;2;0;45;0;750;930;180;510;30;3960;0;0
28;8;240;0;0;0;10;0;540;885;105;435;93;11658;48;0
29;8;300;0;0;0;0;0;600;949;180;431;130;10936;75;1
30;8;300;0;0;0;0;180;420;960;180;360;86;11022;60;0
31;8;360;1;3;0;30;60;540;860;240;400;72;6689;30;0
32;8;300;0;0;0;55;120;540;831;120;549;167;16872;99;0
33;8;270;1;1;0;55;0;540;824;120;556;119;8956;71;0
34;8;180;1;1;0;30;60;600;833;150;552;79;12798;70;0
35;8;180;0;0;0;30;60;600;1064;240;376;38;4818;20;1
36;7;330;0;0;0;20;120;480;1014;120;426;71;3431;40;0
37;9;390;0;0;0;0;0;720;878;45;502;180;5643;174;0
38;6;360;0;0;0;1;240;540;835;150;550;70;4539;0;0
39;8;270;1;1;0;0;150;570;823;240;437;90;7075;43;0
